店舗ID,集計開始日,集計終了日,分類ID,分類名称,メニューID,メニュー名称,メニュータイプ,チョイスID,チョイス名称,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,消費税率区分
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872358,キンミヤ（ボトル）,other,599972,5,0,0,0,0,3,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872360,(割)ジャスミン,drink,,,220,200,10,10,4,880,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872361,(割)コーン,drink,,,220,200,42,39,3,660,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872362,水差し,drink,,,0,0,0,0,6,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872362,水差し,other,599967,0,0,0,0,0,4,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214855,ノンアル,1874332,オレンジジュース,drink,,,440,400,107,98,13,5720,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879650,いいちこ（ボトル）,drink,,,2750,2500,939,870,7,19250,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879650,いいちこ（ボトル）,other,599967,0,0,0,0,0,1,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879650,いいちこ（ボトル）,other,599970,3,0,0,0,0,1,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879650,いいちこ（ボトル）,other,599971,4,0,0,0,0,1,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879656,黒霧島（ボトル）,drink,,,3300,3000,928,860,5,16500,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879656,黒霧島（ボトル）,other,599967,0,0,0,0,0,1,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879656,黒霧島（ボトル）,other,599970,3,0,0,0,0,2,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879658,(割)(大)ソーダ,drink,,,660,600,1,1,94,62040,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879661,(割)(大)ウーロン,drink,,,660,600,30,28,3,1980,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879663,(割)(大)ジャスミン,drink,,,660,600,10,10,21,13860,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879665,(割)(大)コーン,drink,,,660,600,116,108,11,7260,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879675,(割)(大)緑茶,drink,,,660,600,30,28,11,7260,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1879747,カットレモン,drink,,,220,200,86,80,29,6380,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214856,サワー,1879776,チューハイ,drink,,,429,390,22,20,170,72930,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214856,サワー,1879776,チューハイ,drink,623699,濃いめ,165,150,0,0,18,2970,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1879806,おかわり昆布焼酎,drink,,,550,500,102,93,2,1100,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1879806,おかわり昆布焼酎,drink,599976,ソーダ割り,0,0,0,0,2,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214864,煮もの,1879850,ピリ辛ココナッツ煮込み,food,,,473,430,108,100,39,18447,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1883111,梅干し,drink,,,220,200,135,125,25,5500,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214855,ノンアル,1893275,お冷,drink,,,0,0,0,0,39,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214857,ご飯もの,1894987,焼きカレー,food,,,649,590,216,200,43,27907,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1905668,ザル氷,drink,,,0,0,0,0,12,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214852,ホッピー,1905668,ザル氷,drink,,,0,0,0,0,2,0,,10
